day,month,year,mintp,mxntp,p,evp
23,8,2015,25.69,28.88,8.77,1.86251154
24,8,2015,24.94,27.73,15,1.789162697
25,8,2015,25.43,28.87,11.36,2.062617808
26,8,2015,24.72,26.69,32.39,1.333859211
27,8,2015,24.35,26.8,25.68,1.028345036
28,8,2015,23.72,26.69,10.88,0.780993158
29,8,2015,23.69,26.61,31.73,1.11538373
30,8,2015,24.11,26.36,20.88,0.941344003
31,8,2015,23.56,26.17,17.66,0.653540506
1,9,2015,23.29,27.01,3.15,1.721315742
2,9,2015,23.73,27.77,3.54,1.955167321
3,9,2015,23.91,29.52,2.14,2.118425372
4,9,2015,24.36,29.38,1.38,2.114636985
5,9,2015,24.34,28.48,1.26,2.112635289
6,9,2015,23.98,28.8,4.42,2.384712455
7,9,2015,24.54,27.59,21.75,0.566526153
8,9,2015,24.28,27.75,7.71,1.055580652
9,9,2015,23.86,28.15,1.81,1.710013692
10,9,2015,23.27,27.47,0.86,2.050129129
11,9,2015,23.11,27.64,0.21,2.093633191
12,9,2015,22.87,27.86,0.44,2.227696363
13,9,2015,22.89,28.45,0.27,3.067344795
14,9,2015,22.03,29.12,1.67,2.592536306
15,9,2015,23.75,29.13,0.36,2.365534488
16,9,2015,24.03,29.32,1.91,1.886264676
17,9,2015,23.59,28.17,1.19,1.574451986
18,9,2015,23.67,28.47,0.36,1.97820567
19,9,2015,22.97,28.25,0.14,1.832661995
20,9,2015,23.2,28.93,0.37,1.734564594
21,9,2015,23.3,28.9,5.93,1.743050068
22,9,2015,23.87,29.08,1.93,1.931814758
23,9,2015,23.74,29.7,0.25,2.20380429
24,9,2015,23.63,29.9,1.45,2.320418794
25,9,2015,24.67,28.69,2.94,1.413647002
26,9,2015,24.16,28.64,3.35,1.73991883
27,9,2015,23.17,28.26,1.45,1.759265107
28,9,2015,23.17,26.07,50.79,0.992609081
29,9,2015,24.47,27.01,45.99,1.485005309
30,9,2015,24.42,28.04,5.05,1.78580654
1,10,2015,23.76,29.44,0.65,2.363687245
2,10,2015,23.98,27.23,1.23,1.850218525
3,10,2015,23.64,28.96,1.67,2.522032903
4,10,2015,23.75,29.75,0.46,2.478815704
5,10,2015,23.91,29.79,0.35,2.301756661
6,10,2015,24.38,28.25,0.91,1.737260478
7,10,2015,23.66,26.99,0.46,1.495708338
8,10,2015,22.72,27.89,4.91,2.082364613
9,10,2015,23.44,27.78,7.68,1.640174051
10,10,2015,22.98,27.38,6.18,1.601319691
