-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,
Dates (month/day/year): 04/01/2014 through 07/31/2016 ,,,,,,,,,,,
Location: Latitude  22.6439   Longitude 120.6 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 369.24 meters   Site = na ,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -99 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) ,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,DOY,PRECTOT,WS2M,RH2M,T2MDEW,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,T2M
22.64391,120.60001,2014,252,0.88,1.42,83.84,23.66,28.86,24.96,21.71,26.63
22.64391,120.60001,2014,253,0.83,1.5,77.03,23.02,30.78,24.86,20.56,27.43
22.64391,120.60001,2014,254,2.51,2.24,78.84,23.06,29.99,24.99,19.66,27.09
22.64391,120.60001,2014,255,26.04,1.98,81.17,23.39,30.08,24.28,22.48,26.95
22.64391,120.60001,2014,256,6.1,0.84,74.62,22.51,30.45,25.21,20.32,27.5
22.64391,120.60001,2014,257,3.33,3.98,78.61,23.71,30.63,25.17,18.18,27.83
22.64391,120.60001,2014,258,4.23,6.75,82.05,24.06,29.79,25.8,18.55,27.43
22.64391,120.60001,2014,259,1.97,3.54,82.59,24.04,30.1,25.26,21.04,27.28
22.64391,120.60001,2014,260,0.35,0.81,81.51,23.83,30.47,25.14,20.79,27.32
22.64391,120.60001,2014,261,0.82,1.76,83.03,24.24,30.29,25.37,17.63,27.42
22.64391,120.60001,2014,262,8.82,4.31,80.2,23.5,30.55,24.32,12.25,27.26
22.64391,120.60001,2014,263,38.94,5.15,83.76,23.75,29.01,24.88,8.23,26.75
22.64391,120.60001,2014,264,100.71,7.87,91.16,23.88,26.94,23.96,2.08,25.47
22.64391,120.60001,2014,265,6.09,2.96,86.66,22.59,27.42,22.8,15.1,25.01
22.64391,120.60001,2014,266,2.22,3.36,88.09,23.36,27.48,23.99,10.45,25.51
22.64391,120.60001,2014,267,0.75,1.67,82.62,22.6,28.66,23.29,20.8,25.84
22.64391,120.60001,2014,268,0.16,0.93,78.13,22.37,29.73,23.93,20.67,26.53
22.64391,120.60001,2014,269,0.3,0.93,81.39,23.04,29.43,24.47,20.48,26.51
